1;684774; 434465; 396001; 440730; 395303; 353037; 346344; 401489; 334643; 363096; 390723; 296369; 459704; 355602; 470274; 501266; 344408; 417287; 431452; 331766; 
2;325687; 283663; 294975; 282398; 274829; 322342; 298525; 275646; 287272; 376046; 298207; 278354; 330603; 302864; 375778; 457727; 305519; 307985; 416141; 337036; 
4;428842; 356233; 384840; 393100; 402903; 374225; 451532; 301456; 269709; 288052; 255658; 293387; 335876; 364537; 359934; 366823; 274271; 317709; 305700; 294363; 
8;290137; 370027; 261642; 303629; 293465; 348705; 269272; 298549; 312305; 290887; 264658; 304615; 282662; 281936; 306627; 389958; 273479; 317607; 326011; 275589; 
16;317431; 297258; 291742; 276924; 318775; 271164; 268724; 307264; 317663; 282103; 312316; 345862; 296772; 337357; 319205; 292094; 292259; 386687; 297147; 270530; 
32;297121; 307137; 276393; 263848; 295577; 308495; 292199; 546149; 370386; 15619517; 659124; 407417; 366179; 369286; 329545; 334520; 308036; 288620; 275824; 272499; 
64;302259; 283276; 281622; 363163; 380644; 295848; 324235; 1507716; 403052; 280848; 433988; 363970; 339047; 380876; 6254827; 983526; 882587; 273493; 255781; 264842; 
128;252998; 269589; 283875; 261430; 252746; 279736; 251865; 265697; 243618; 251594; 260742; 440351; 377817; 338862; 344472; 543655; 329948; 241867; 290366; 291015; 
256;252582; 261636; 266188; 373761; 330724; 291682; 287745; 570173; 447095; 394498; 364523; 307065; 330153; 379635; 326790; 366257; 342300; 308697; 370803; 320976; 
512;318848; 380410; 289005; 335933; 423633; 279811; 357972; 445861; 404394; 381136; 375561; 376139; 482256; 377658; 403456; 354218; 401781; 429821; 407597; 395772; 
1024;318177; 345673; 404799; 330740; 331545; 403304; 337890; 346495; 381817; 349464; 347158; 297697; 341921; 313279; 313012; 498014; 457480; 387598; 471415; 346871; 
2048;355991; 519973; 521481; 487649; 497944; 489888; 552768; 458254; 448465; 4389889; 567689; 312562; 424568; 589243; 583960; 499479; 307669; 565825; 405847; 424804; 
4096;335525; 490555; 520741; 426937; 10012942; 3174701; 668077; 632977; 407177; 537991; 560518; 527192; 441300; 462929; 433270; 502592; 635449; 1418789; 367734; 358998; 
8192;476488; 390362; 451304; 379508; 357700; 443479; 378662; 431332; 1164527; 386851; 300295; 992913; 617041; 514494; 976512; 388124; 410000; 606731; 359443; 358236; 
16384;424872; 98749; 230485; 76864; 100457; 134781; 270189; 1716913; 293423; 145089; 48043; 215528; 259998; 56354; 47027; 168098; 44831; 239979; 48654; 563085; 
32768;122586; 311662; 489881; 478687; 37998744; 135539; 122716; 669213; 170219; 77201; 142748; 130505; 177644; 281148; 4933491; 762052; 180413; 98282; 659642; 84691; 
65536;739912; 415824; 36506183; 1623592; 6040909; 8400835; 144920; 199523; 161680; 154184; 1660593; 181905; 79632; 4543632; 40722280; 320037; 374379; 269626; 341203; 363244; 
