   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
   java.net.SocketException: Connection reset
1;2;4;8;16;32;64;128;256;512;1024;2048;4096;8192;16384;32768;65536;
2263544,35;2078407,22;1980716,33;2043343,90;1799092,94;1897204,04;1956389,00;2007816,73;1961964,75;2197181,25;7297315,64;36124124,73;12545224,51;18064271,86;40740061,37;96959850,99;179210982,42;
8856890,51;7581122,45;7220994,80;7447698,25;6556696,96;6915904,84;7127972,84;7315319,73;7149884,06;8031626,89;34075287,33;153800963,79;54397774,42;71685643,81;157656106,57;363215971,05;661793124,58;
557086,21;524343,75;494603,12;507757,45;451743,06;482454,86;478597,97;497710,46;495628,07;565068,63;4301074,23;11161016,66;3611030,35;5128042,10;11053388,76;25134875,11;40420703,97;
470526,08;511905,47;485947,16;496648,78;443393,99;470976,23;470728,12;489636,09;486618,28;540909,86;3225052,07;8622945,50;2775395,52;4311610,58;9570057,54;22879972,52;37340033,17;
643646,34;536782,03;503259,07;518866,12;460092,14;493933,50;486467,81;505784,84;504637,85;589227,41;5377096,38;13699087,83;4446665,19;5944473,62;12536719,98;27389777,71;43501374,78;
